brand,product_name,clothing_type,fabric_composition,fiber_json,most_dominant_fiber,fs_bio_share,fs_biodeg_tier,source,country_of_brand,scraped_url,scraped_at,origin
Penshoppe,Penshoppe ❤️ Hello Kitty Relaxed Ringer Graphic T-Shirt,dress,"y Fabric: Jersey Knit (Single Jersey) Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'9"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/products/penshoppe-hello-kitty-relaxed-ringer-graphic-t-shirt-991777-off-white,2026-02-24T13:08:23.927832,live
Penshoppe,Lovely Kitty Club Relaxed Graphic T-Shirt,dress,"t Fabric: Jersey Knit (Single Jersey) Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'5"" Chest: 32","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/products/lovely-kitty-club-relaxed-graphic-t-shirt-992315-yellow,2026-02-24T13:08:27.555532,live
Penshoppe,Short Sleeve Slim Polo Dress,dress,"ls: Cut & Sew Panel Fabric: Interlock Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'5"" Chest: 32","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/products/short-sleeve-slim-polo-dress-992984-off-white,2026-02-24T13:08:29.958949,live
Penshoppe,Penshoppe ❤️ Hello Kitty Slim Raglan Graphic T-Shirt,dress,"Details: Puff Print Fabric: Interlock Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'9"" Chest: 33","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/products/penshoppe-hello-kitty-slim-raglan-graphic-t-shirt-991781-off-white,2026-02-24T13:08:33.788567,live
Penshoppe,New York Racing Slim Graphic T-Shirt,dress,"t Fabric: Jersey Knit (Single Jersey) Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'8"" Chest: 32","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/products/new-york-racing-slim-graphic-t-shirt-992320-green,2026-02-24T13:08:35.480367,live
Penshoppe,Penshoppe ❤️ Hello Kitty Two-Fer Relaxed Cropped Pullover,dress,"ination, Cropped Fabric: French Terry Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'9"" Chest: 33","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/products/penshoppe-hello-kitty-two-fer-relaxed-cropped-pullover-991793-off-white,2026-02-24T13:08:47.724631,live
Penshoppe,Geometric Jaquard All-Over Print Knit Top,dress,"All-Over Print Fabric: Jacquard Knit Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 5'6"" Chest:","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.penshoppe.com/collections/womens-sale-items/products/geometric-jaquard-all-over-print-knit-top-989628-berry,2026-02-24T13:08:51.195268,live
Penshoppe,Relaxed Fit Zip-Up Knit Bomber Jacket with Contrast Piping and Branding,dress,"s: Contrast Trim Fabric: French Terry Material Composition: 65% Polyester 35% Cotton Model's Body Measurements Height: 5'8"" Chest: 32","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,philippine,PH,https://www.penshoppe.com/collections/womens-sale-items/products/relaxed-fit-zip-up-knit-bomber-jacket-with-contrast-piping-and-branding-987355-bone,2026-02-24T13:09:20.613897,live
Mango,Buttons detail knit sweater,t-shirt,ree delivery to store See availability in store Description 100% cotton fabric. Chunky knit fabric. Straight design. Round neck. Lo,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/teen/jumpers-and-cardigans/buttons-detail-knit-sweater_27041299,2026-02-24T13:12:17.230724,live
Mango,Striped long pyjamas,shirt,ore See availability in store Description Long pyjama pack. 100% cotton fabric. T-shirt. Stripes long trousers. Elastic waist with,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/teen/pyjamas/striped-long-pyjamas_17095822,2026-02-24T13:12:21.802789,live
Mango,Cotton pyjama pack,shirt,ility in store Description T-shirt and pyjama trousers set. 100% cotton fabric. T-shirt. Stripes long trousers. Elastic waist with,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/teen/pyjamas/cotton-pyjama-pack_17035823,2026-02-24T13:12:23.526768,live
Mango,Striped Oxford shirt,shirt,ree delivery to store See availability in store Description 100% cotton fabric. Straight design. Stripe design. Oxford style. Shirt,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/teen/shirts/striped-oxford-shirt_17041214,2026-02-24T13:12:27.308294,live
Mango,Regular-fit jeans,t-shirt,ree delivery to store See availability in store Description 100% cotton fabric. Denim jeans style. Long design. Straight design. Be,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/teen/jeans/regular-fit-jeans_17002536,2026-02-24T13:12:32.940298,live
Mango,Oxford cotton shirt,shirt,ree delivery to store See availability in store Description 100% cotton fabric. Straight design. Shirt collar. Long sleeves. Button,"{""cotton"": 200.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/teen/shirts/oxford-cotton-shirt_17071221,2026-02-24T13:12:34.621468,live
Mango,Hello Kitty sweatshirt,shirt,ree delivery to store See availability in store Description 100% cotton fabric. Quilted cotton interior. Embroidered design. Hello,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/girls/sweatshirts/hello-kitty-sweatshirt_27071183,2026-02-24T13:12:37.136984,live
Mango,Tiger-print sweatshirt,shirt,and promoting circularity in fashion. Oversize Silhouette. 100% Cotton. Tiger print. Round neck. Long sleeves. See details Item qu,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/girls/sweatshirts/printed/tiger-print-sweatshirt_27041536,2026-02-24T13:12:41.460607,live
Mango,Tropical print jumpsuit,dress,ree delivery to store See availability in store Description 100% cotton fabric. Straight design. Printed design. Palm tree print. S,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/girls/dresses-and-jumpsuits/jumpsuits-and-dungarees/tropical-print-jumpsuit_17051253,2026-02-24T13:12:45.345789,live
Mango,Denim parka with contrasting collar,t-shirt,ree delivery to store See availability in store Description 100% cotton fabric. Denim fabric. Oversized design. Notched lapel colla,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/girls/coats-and-jackets/biker-jackets/denim-parka-with-contrasting-collar_17043277,2026-02-24T13:12:47.094665,live
Mango,Knot denim dress,dress,ree delivery to store See availability in store Description 100% cotton fabric. Denim fabric. Short design. Shirt collar. Long slee,"{""cotton"": 100.0}",cotton,100.0,high,multinational,ES,https://shop.mango.com/gb/en/p/girls/dresses-and-jumpsuits/dresses/knot-denim-dress_17073284,2026-02-24T13:12:48.778036,live
Columbia,Women's AmazeStretch™ Jacket,jacket,"easy fit for comfortable range of motion. Materials Shell: 94% Nylon, 6% Elastane Care Machine wash cold gentle Do not bleach Tu","{""nylon"": 94.0, ""elastane"": 6.0}",nylon,0.0,low,multinational,US,https://www.columbia.com/p/womens-amazestretch-jacket-2154741.html,2026-02-24T13:13:47.466690,live
Columbia,Women's AmazeStretch™ Insulated Bomber Jacket,jacket,"easy fit for comfortable range of motion. Materials Shell: 82% Nylon, 18% Elastane Lining: 100% Polyester Insulation: 80g Microt","{""nylon"": 82.0, ""elastane"": 18.0, ""polyester"": 130.0}",polyester,0.0,low,multinational,US,https://www.columbia.com/p/womens-amazestretch-insulated-bomber-jacket-2162241.html,2026-02-24T13:13:50.573595,live
Columbia,Women's AmazeTrench™ Rain Jacket,t-shirt,easy fit for comfortable range of motion. Materials Shell: 100% Polyester Lining: 100% Polyester Care Machine wash cold gentle Wash s,"{""polyester"": 200.0}",polyester,0.0,low,multinational,US,https://www.columbia.com/p/womens-amazetrench-rain-jacket-2162251.html,2026-02-24T13:13:52.966744,live
Columbia,Women's AmazeRain™ 3L Shell Jacket,t-shirt,easy fit for comfortable range of motion. Materials Shell: 100% Polyester Care Machine wash cold gentle Wash separately Do not bleach,"{""polyester"": 100.0}",polyester,0.0,low,multinational,US,https://www.columbia.com/p/womens-amazerain-3l-shell-jacket-2154711.html,2026-02-24T13:13:57.049469,live
Everlane,The Utility Barrel Pant,dress,"H AN EXPERT Materials & Care Materials: 98% Organic Cotton, 2% Elastane Care: Machine wash cold inside out, tumble dry low. Details","{""elastane"": 2.0}",elastane,0.0,low,multinational,US,https://www.everlane.com/products/womens-utility-arc-pant-organic-black,2026-02-24T13:14:27.805090,live
Everlane,The Way-High® Jean,dress,"H AN EXPERT Materials & Care Materials: 98% Organic Cotton, 2% Elastane Reduced CO2 Emissions: The LEED-certified factory that make","{""elastane"": 2.0}",elastane,0.0,low,multinational,US,https://www.everlane.com/products/womens-way-high-jean-ind,2026-02-24T13:14:31.697003,live
Everlane,The Original Cheeky® Jean,dress,"H AN EXPERT Materials & Care Materials: 98% Organic Cotton, 2% Elastane Care: Machine Wash Cold. Tumble Dry Low. Factory Made in Bi","{""elastane"": 2.0}",elastane,0.0,low,multinational,US,https://www.everlane.com/products/womens-original-cheeky-jean-ankle-vintage-dark,2026-02-24T13:14:49.274120,live
Everlane,The Cocoon Crew in Alpaca,dress,"ontact us . CHAT WITH AN EXPERT Materials & Care Materials: 55% Alpaca, 30% Recycled Nylon, 15% Wool Did You Know? The Responsible","{""alpaca"": 55.0, ""wool"": 15.0}",alpaca,21.43,low,multinational,US,https://www.everlane.com/products/womens-alapaca-ribbed-cocoon-crew-almond,2026-02-24T13:14:53.585203,live
Everlane,The Draper Pleated Pant in Buttersmooth,dress,"ontact us . CHAT WITH AN EXPERT Materials & Care Materials: 60% TENCEL™ Lyocell, 40% Cotton Care: Machine Wash Cold Gentle Cycle.","{""tencel"": 60.0, ""cotton"": 40.0}",tencel,100.0,high,multinational,US,https://www.everlane.com/products/womens-way-high-slouch-ankle-black,2026-02-24T13:14:58.090516,live
